mean_intensity_red,mean_intensity_green,mean_intensity_blue,label
192.69,197.64,198.75,monitor
195.27,195.85,191.65,keyboard
149.21,149.45,149.97,backpack
183.48,183.86,182.57,keyboard
215.3,218.31,218.72,backpack
240.13,240.0,240.11,calculator
158.06,157.77,159.27,keyboard
231.04,229.94,227.46,bike
205.99,198.81,181.39,monitor
182.43,182.49,182.9,projector
198.59,202.98,198.35,monitor
195.63,193.15,192.9,keyboard
195.39,193.39,199.48,mouse
228.55,228.83,229.24,bike
199.14,203.44,207.71,monitor
131.07,133.26,135.82,bike
192.15,192.05,192.37,keyboard
147.93,147.4,148.54,backpack
228.37,228.89,229.16,headphones
218.32,217.2,217.16,mouse
196.72,195.88,194.57,keyboard
228.05,226.12,225.4,bike
189.06,185.97,183.22,calculator
211.72,216.12,215.59,calculator
208.67,201.81,191.77,laptop
165.21,165.62,165.81,backpack
238.84,238.59,238.41,headphones
220.61,220.6,220.62,projector
225.13,225.23,230.27,mug
220.76,218.25,218.68,mouse
189.36,190.62,192.0,backpack
245.62,245.71,245.53,mug
178.3,176.03,174.26,keyboard
191.33,190.7,190.49,laptop
229.41,229.44,229.41,projector
156.63,152.88,147.45,calculator
203.53,204.0,206.35,keyboard
235.63,235.47,238.58,bike
222.6,196.72,140.87,monitor
238.49,239.77,238.42,projector
182.81,183.49,184.47,monitor
156.22,152.99,176.17,backpack
125.4,126.42,163.04,backpack
203.36,207.22,211.05,monitor
160.29,163.69,164.42,backpack
157.47,158.95,147.39,monitor
175.22,173.56,173.68,laptop
221.86,211.75,201.28,laptop
222.13,226.92,230.94,mug
172.88,182.87,169.49,monitor
206.02,204.25,204.05,mouse
192.84,192.66,192.68,headphones
220.18,218.74,228.57,mug
229.98,230.76,230.67,bike
145.41,146.5,147.12,backpack
194.97,184.9,177.82,monitor
204.17,186.52,178.16,mug
221.08,220.48,220.33,mouse
197.84,197.78,197.78,laptop
170.96,177.29,186.76,mouse
205.29,202.91,201.08,mouse
172.71,166.37,173.29,monitor
233.18,231.38,229.34,mug
213.62,211.19,208.43,laptop
217.22,216.48,216.56,keyboard
194.75,191.74,190.39,keyboard
177.16,175.66,175.28,headphones
203.32,201.82,201.13,keyboard
205.0,205.07,205.06,headphones
182.93,164.9,105.95,monitor
209.42,209.57,208.83,bike
180.24,179.41,178.2,backpack
181.4,176.18,173.33,laptop
204.63,192.21,179.69,laptop
245.06,244.55,245.19,keyboard
197.06,195.63,194.62,keyboard
226.89,226.89,226.89,mug
205.5,205.33,204.7,keyboard
222.89,222.89,222.88,headphones
197.53,196.17,196.92,mouse
200.11,198.57,194.32,mouse
191.23,189.69,185.42,mouse
243.23,243.19,243.19,keyboard
229.21,229.26,229.47,mug
214.87,214.87,214.87,keyboard
231.87,235.07,236.7,mug
201.86,200.21,199.71,mouse
194.41,191.41,189.18,laptop
192.8,190.04,190.65,headphones
198.98,197.1,195.57,projector
193.31,194.21,193.97,calculator
239.96,239.82,239.78,headphones
138.68,135.26,134.69,mouse
201.4,203.28,203.68,projector
163.25,163.39,167.63,backpack
177.65,175.84,172.91,headphones
190.94,209.83,230.69,monitor
243.61,243.61,244.03,projector
221.06,219.82,218.99,mouse
139.05,139.15,140.67,backpack
204.18,204.1,200.88,projector
166.87,166.65,166.7,backpack
158.13,158.13,158.13,backpack
138.81,138.53,138.49,monitor
248.82,248.58,248.51,keyboard
171.9,168.88,169.09,laptop
199.6,200.26,199.51,mug
240.09,240.09,240.09,mug
211.98,213.67,211.76,calculator
129.87,134.6,143.88,monitor
228.42,225.01,224.01,headphones
193.77,195.32,200.14,mug
175.63,183.08,191.35,monitor
251.01,251.11,251.04,keyboard
150.05,172.55,181.79,laptop
228.17,228.33,228.22,projector
236.58,237.9,237.76,keyboard
206.57,183.43,178.23,calculator
189.15,188.37,187.93,headphones
243.7,243.14,243.91,mouse
172.16,172.09,172.59,backpack
203.81,200.03,202.32,projector
207.91,207.44,208.3,keyboard
151.35,151.54,152.06,backpack
183.93,190.39,199.09,backpack
207.27,193.67,182.2,monitor
221.25,216.67,215.42,laptop
167.49,123.39,110.94,keyboard
222.02,220.96,219.89,keyboard
182.44,174.3,150.53,monitor
187.14,188.34,187.75,mouse
212.51,211.31,239.36,backpack
185.76,184.46,185.4,mouse
212.83,213.64,214.26,keyboard
195.62,197.77,198.05,headphones
216.59,217.45,217.33,calculator
200.51,200.06,199.53,mouse
201.86,201.88,201.84,headphones
226.44,226.13,226.19,keyboard
167.41,157.43,157.25,calculator
212.51,212.37,211.19,projector
200.89,201.86,202.13,mouse
233.07,234.74,235.47,mug
218.56,216.82,217.27,calculator
215.51,215.08,225.31,mug
172.97,173.92,172.3,backpack
224.86,224.18,222.16,projector
219.5,219.5,220.22,projector
197.44,196.87,195.83,projector
182.0,180.41,181.15,mouse
186.66,186.3,186.13,monitor
160.48,158.06,159.14,laptop
229.98,230.01,230.42,mug
231.5,230.8,229.65,bike
162.25,160.24,159.93,mouse
221.68,221.58,220.6,projector
180.22,181.76,178.17,calculator
241.48,241.48,241.47,keyboard
147.09,144.77,145.56,monitor
180.83,181.81,182.1,projector
202.86,202.19,202.99,mouse
228.69,228.7,228.31,mug
229.84,230.24,230.45,bike
121.2,120.63,171.94,backpack
158.66,154.87,166.61,monitor
198.9,199.47,204.34,monitor
208.99,207.26,203.78,headphones
193.59,193.34,192.82,projector
232.39,235.24,237.99,mug
197.38,199.88,204.35,mug
207.19,204.52,204.6,projector
212.22,213.27,214.57,mouse
184.03,179.29,168.3,mouse
223.37,222.75,222.78,headphones
219.95,207.97,195.65,laptop
167.07,174.47,179.01,backpack
248.22,242.49,234.75,backpack
246.9,247.01,246.91,mouse
143.13,142.83,142.11,backpack
195.56,193.05,194.91,monitor
198.4,198.78,199.15,calculator
234.25,235.15,235.46,bike
214.56,214.21,214.19,keyboard
187.98,185.91,186.9,headphones
150.13,149.34,150.04,projector
206.99,201.9,204.05,backpack
186.31,176.14,165.67,laptop
133.09,145.63,153.33,monitor
128.11,126.41,126.18,projector
233.26,232.11,231.4,bike
183.55,179.28,178.18,calculator
231.94,223.79,223.54,calculator
190.61,205.3,218.26,mug
233.49,232.79,231.6,bike
174.33,171.73,172.37,laptop
173.62,179.56,190.36,laptop
239.08,240.07,238.04,mug
172.15,171.6,171.09,keyboard
219.75,221.11,226.41,headphones
161.53,161.52,161.51,monitor
180.26,173.69,153.87,monitor
174.77,174.73,183.26,laptop
165.1,163.07,166.35,laptop
174.68,174.63,184.92,backpack
199.63,197.81,197.33,headphones
179.49,169.71,201.05,backpack
203.41,200.98,201.27,keyboard
236.29,237.83,237.85,projector
149.17,148.58,140.09,monitor
155.81,163.17,162.09,laptop
226.52,226.22,226.4,headphones
245.9,245.16,244.14,keyboard
202.03,201.63,201.31,projector
174.91,174.7,174.63,headphones
213.18,212.65,211.34,bike
156.94,162.41,187.96,laptop
170.39,168.11,168.65,keyboard
208.5,211.61,215.87,mug
174.62,172.87,170.71,mouse
181.23,179.78,180.37,mouse
160.54,148.05,143.77,monitor
197.02,183.96,174.32,mug
202.66,201.2,199.39,projector
225.27,224.58,224.6,projector
188.75,188.81,188.91,keyboard
166.91,164.45,164.95,keyboard
184.11,192.31,194.09,backpack
191.65,191.03,190.6,keyboard
197.86,202.92,206.78,mug
213.8,211.94,210.23,mouse
175.56,177.96,180.45,backpack
185.96,185.9,186.0,projector
178.83,170.66,162.91,laptop
155.13,156.59,151.29,mug
199.71,200.73,210.47,monitor
214.26,213.96,213.94,headphones
144.87,167.64,169.25,laptop
229.9,230.05,229.95,bike
211.27,210.67,210.74,headphones
219.92,221.57,222.08,mug
156.28,156.23,158.23,mouse
211.98,211.78,210.48,calculator
231.02,224.13,201.87,monitor
207.01,204.89,205.49,calculator
208.76,209.13,208.63,keyboard
175.22,173.56,173.68,laptop
181.01,180.15,179.97,headphones
242.99,242.46,242.36,mouse
142.7,138.64,143.31,backpack
202.94,208.04,236.99,mug
186.28,186.06,186.02,mouse
223.57,218.11,222.36,monitor
217.55,216.94,216.83,headphones
134.59,135.2,135.35,backpack
245.7,245.37,245.17,keyboard
216.49,214.53,210.2,monitor
199.64,201.75,203.99,mug
163.57,143.57,125.03,laptop
224.88,226.52,227.62,bike
158.4,158.3,158.01,backpack
208.26,207.95,206.71,calculator
237.8,239.34,235.41,laptop
216.45,212.82,216.06,laptop
215.29,216.64,217.26,headphones
214.8,215.26,215.43,calculator
172.03,165.77,164.31,backpack
221.49,221.49,221.49,keyboard
206.24,192.84,162.22,monitor
191.89,191.71,191.58,headphones
147.19,161.34,157.21,monitor
178.55,177.76,177.61,backpack
209.42,208.15,207.79,projector
171.23,153.12,150.06,laptop
227.12,226.93,227.36,backpack
226.53,228.39,228.01,laptop
195.44,196.84,197.07,headphones
138.68,135.26,134.69,mouse
215.27,177.64,97.84,monitor
221.92,223.82,225.17,bike
175.65,168.83,165.34,laptop
175.6,172.6,171.45,projector
194.12,194.28,198.32,calculator
145.66,143.44,146.56,backpack
178.34,177.84,177.65,projector
223.4,228.79,235.6,mug
209.68,209.64,209.3,keyboard
202.74,203.8,213.43,monitor
212.62,209.71,208.97,mouse
224.03,222.63,223.27,mouse
230.48,230.81,230.71,headphones
227.87,228.17,228.06,calculator
179.3,176.41,174.43,laptop
209.0,211.54,209.68,calculator
231.77,231.73,231.67,bike
194.41,191.41,189.18,laptop
162.34,168.84,176.12,laptop
203.07,201.99,210.28,headphones
175.22,173.56,173.68,laptop
232.23,230.03,230.98,bike
143.79,143.33,146.04,mouse
181.69,182.01,173.67,monitor
124.8,123.48,123.58,backpack
226.43,225.8,225.51,bike
153.81,174.47,192.86,mug
175.79,175.73,173.18,headphones
158.69,166.07,167.84,bike
155.67,167.43,175.42,mug
231.87,231.82,231.78,bike
225.12,225.21,225.21,bike
211.81,211.55,214.08,headphones
122.17,118.96,135.41,monitor
217.68,216.91,217.69,mouse
137.39,136.91,136.9,backpack
194.62,194.62,194.62,mug
183.22,182.5,184.0,laptop
211.48,211.48,211.48,keyboard
166.54,137.68,145.06,mug
201.84,212.96,217.58,laptop
211.47,210.86,210.67,mouse
130.89,136.67,169.35,backpack
234.57,234.79,232.97,calculator
230.79,219.64,208.56,laptop
217.73,220.55,225.38,headphones
207.89,207.33,207.48,calculator
207.47,206.53,206.0,headphones
214.17,214.35,214.01,bike
216.69,209.32,205.78,mouse
225.39,224.77,222.61,calculator
162.1,157.3,176.82,backpack
209.65,209.21,207.79,projector
236.05,235.8,235.77,projector
181.53,177.09,174.5,calculator
227.53,225.24,224.76,calculator
203.54,202.74,204.3,laptop
229.15,228.79,229.48,bike
135.7,209.56,236.02,mug
228.92,228.41,228.4,projector
241.28,241.14,241.75,bike
218.04,224.77,229.52,mug
227.12,226.75,226.97,projector
183.66,176.88,166.3,monitor
188.32,188.69,188.41,calculator
225.86,225.9,226.95,headphones
154.51,153.33,153.55,monitor
203.23,202.21,202.87,mouse
195.66,195.3,195.94,mouse
140.67,195.24,212.24,monitor
185.84,164.79,159.46,laptop
170.07,171.91,170.03,headphones
232.02,230.38,229.94,projector
193.68,193.31,193.85,mouse
197.64,193.27,190.32,headphones
227.31,225.51,225.71,bike
214.97,214.31,215.22,mouse
213.51,209.11,217.92,calculator
226.92,226.89,226.69,bike
194.55,195.31,194.69,calculator
197.5,196.39,184.25,monitor
190.17,187.56,184.48,calculator
207.38,226.34,230.49,mug
229.02,229.21,228.55,keyboard
240.41,240.8,240.7,projector
227.49,227.48,227.49,headphones
199.98,199.69,199.86,headphones
229.64,229.07,229.38,bike
236.89,236.26,238.67,bike
190.0,179.89,183.36,calculator
189.31,186.31,185.87,calculator
217.22,216.75,217.82,keyboard
240.2,239.32,238.99,projector
226.4,226.4,226.4,keyboard
188.15,189.56,188.01,calculator
208.08,207.86,207.0,keyboard
191.28,190.74,191.19,laptop
224.91,229.78,233.36,mug
233.46,233.12,233.09,bike
228.89,229.51,229.39,headphones
233.95,234.58,234.0,bike
180.63,180.61,180.62,keyboard
236.8,236.78,231.87,laptop
222.48,221.52,219.7,calculator
215.14,215.79,215.21,monitor
162.57,161.83,162.08,backpack
182.35,180.99,176.24,calculator
165.79,165.7,175.9,backpack
104.28,104.72,105.05,monitor
227.79,226.3,227.19,headphones
230.8,231.99,231.99,bike
186.01,185.03,188.87,mouse
195.16,194.26,193.74,keyboard
214.94,214.44,211.78,headphones
177.27,177.04,178.13,mouse
226.36,227.18,227.43,headphones
175.18,173.63,171.56,backpack
161.87,161.94,162.13,projector
183.22,182.5,184.0,laptop
207.71,207.52,207.8,headphones
231.78,231.16,230.96,projector
216.28,214.34,212.71,projector
201.74,198.23,188.13,monitor
178.54,175.17,172.55,mouse
151.81,146.45,122.83,monitor
173.47,158.62,137.41,mouse
48.59,67.21,68.43,monitor
144.93,146.8,145.67,calculator
117.13,104.29,100.76,laptop
81.33,85.57,84.93,projector
207.26,208.19,203.34,mug
231.96,230.62,229.71,projector
171.85,188.24,184.01,backpack
138.77,140.39,138.47,calculator
96.31,97.6,98.58,bike
154.99,154.99,154.99,headphones
148.08,147.58,147.93,headphones
205.05,171.19,131.02,monitor
117.49,137.61,154.35,mug
191.43,188.91,200.3,backpack
139.31,137.15,135.56,bike
75.18,92.49,128.85,keyboard
198.94,197.11,196.97,projector
95.84,108.43,125.67,bike
118.75,118.77,117.9,headphones
174.29,173.61,171.03,headphones
145.55,143.66,141.13,headphones
218.45,218.27,218.19,headphones
81.38,80.89,84.33,backpack
119.94,114.15,114.95,backpack
127.9,130.95,128.63,laptop
113.29,98.18,92.9,laptop
99.44,97.87,108.91,backpack
122.39,139.48,152.24,mug
200.92,201.95,205.77,mug
130.15,114.02,95.45,monitor
122.26,121.77,120.72,keyboard
205.34,201.49,193.32,mouse
166.42,166.17,166.66,bike
74.27,81.54,113.2,mug
123.66,139.54,169.62,headphones
101.16,101.34,102.11,keyboard
130.04,113.11,122.9,keyboard
195.77,193.62,187.92,monitor
58.41,56.4,74.49,backpack
235.81,236.51,239.23,calculator
215.7,208.31,192.8,keyboard
181.89,181.84,180.12,mug
152.94,150.79,148.14,mouse
94.3,95.63,95.9,monitor
175.95,174.45,170.1,monitor
104.37,107.48,112.1,keyboard
120.44,122.54,117.01,monitor
121.54,120.86,120.23,headphones
86.4,95.15,112.79,headphones
86.04,77.81,96.52,bike
144.26,135.83,131.29,laptop
73.91,44.36,87.86,backpack
73.05,82.14,83.21,bike
142.7,143.0,143.28,bike
221.22,215.82,215.6,headphones
194.99,197.9,207.09,mug
162.27,149.13,149.15,projector
77.56,99.95,137.85,backpack
229.34,227.53,226.71,headphones
133.06,119.91,113.25,monitor
81.63,84.18,81.92,bike
132.5,128.26,125.51,monitor
94.46,94.19,93.58,laptop
73.01,94.35,105.65,bike
167.81,163.31,163.18,keyboard
168.05,169.84,166.53,headphones
240.67,232.91,232.95,calculator
218.65,219.11,219.15,headphones
158.3,143.02,140.67,mug
61.63,30.86,7.56,mouse
132.96,126.63,117.78,backpack
165.7,168.95,170.18,monitor
86.02,82.9,71.11,laptop
69.15,65.64,87.45,backpack
152.62,152.78,156.05,backpack
220.55,220.57,220.81,headphones
175.95,176.03,192.45,monitor
90.29,90.39,90.18,bike
64.57,52.75,39.79,laptop
61.62,68.51,72.28,projector
193.71,93.66,94.76,mug
62.9,68.97,77.05,laptop
157.85,124.04,124.43,calculator
211.97,208.64,224.98,mouse
143.46,143.26,145.98,laptop
75.1,76.86,73.6,monitor
152.49,151.37,150.85,projector
47.07,63.01,67.13,backpack
109.7,108.0,108.29,mouse
120.63,118.38,127.2,mug
228.6,226.56,230.05,calculator
58.23,65.92,72.01,laptop
88.2,82.2,74.68,backpack
73.35,90.84,93.37,monitor
133.59,133.4,133.26,bike
103.26,105.74,109.37,bike
43.18,42.65,42.74,monitor
68.63,86.63,86.55,projector
168.82,169.45,169.65,projector
199.65,197.1,199.78,headphones
19.68,85.15,154.91,mouse
84.19,94.78,98.01,bike
140.55,148.28,150.3,laptop
123.21,123.06,123.39,monitor
173.71,177.07,175.77,mouse
165.21,163.74,160.73,mug
102.7,102.99,109.09,keyboard
121.02,120.63,120.41,backpack
125.38,101.79,103.31,backpack
98.22,99.96,78.77,bike
54.47,89.32,123.28,laptop
90.59,96.55,102.55,backpack
193.04,182.66,184.91,mug
218.61,194.3,192.61,monitor
86.1,86.02,102.71,mouse
174.42,174.52,178.86,laptop
93.73,93.35,92.25,backpack
97.14,99.92,100.03,backpack
134.39,132.69,133.76,calculator
210.47,211.56,207.07,bike
155.75,149.04,151.21,headphones
124.4,124.64,124.6,projector
46.42,67.8,64.07,bike
213.87,209.37,204.36,mouse
245.32,245.02,245.83,keyboard
141.27,140.93,140.74,headphones
120.56,121.34,125.42,headphones
147.87,156.66,152.18,keyboard
76.02,80.32,81.92,bike
121.24,113.96,109.77,keyboard
144.53,132.32,87.11,monitor
98.52,107.7,116.48,laptop
117.06,136.79,153.35,backpack
100.85,64.94,80.21,mouse
89.44,89.98,89.99,keyboard
170.93,168.53,156.66,calculator
57.34,60.19,68.16,laptop
241.43,238.19,240.48,headphones
82.36,77.68,76.36,keyboard
146.26,147.19,163.31,monitor
104.45,118.23,121.46,mug
184.47,185.76,185.39,monitor
139.63,140.3,132.63,headphones
196.35,185.32,186.05,mug
166.36,167.98,166.89,mouse
212.72,214.46,208.82,bike
214.3,214.4,214.16,projector
125.03,106.56,93.03,bike
169.17,165.75,161.48,headphones
151.64,143.41,143.28,monitor
70.67,82.45,91.8,calculator
142.07,146.77,149.23,headphones
117.27,131.83,157.65,keyboard
117.52,125.83,131.8,mug
166.37,199.06,199.44,laptop
64.31,57.48,62.64,bike
111.08,134.28,137.97,mug
84.66,86.37,88.67,monitor
87.64,95.0,94.6,bike
68.25,70.89,69.86,bike
164.21,165.27,167.86,backpack
165.99,111.69,106.69,mug
122.13,111.93,105.44,monitor
159.47,159.8,161.83,mug
98.91,96.13,100.8,projector
144.65,143.34,147.76,headphones
88.12,99.49,88.83,calculator
46.7,35.18,21.43,monitor
168.77,174.57,188.68,monitor
172.83,167.69,167.7,laptop
112.94,70.95,113.17,headphones
134.39,133.2,142.65,keyboard
51.45,59.99,69.45,headphones
125.39,115.7,116.95,headphones
140.27,129.92,124.03,backpack
83.39,88.01,92.23,calculator
135.82,131.54,115.71,calculator
58.45,60.62,54.99,backpack
226.34,226.06,227.35,calculator
194.03,193.03,186.95,mouse
184.55,177.21,175.96,monitor
142.01,146.36,143.41,mug
117.56,117.67,122.82,headphones
116.68,146.79,168.49,keyboard
147.75,134.91,130.91,laptop
162.62,163.13,163.41,headphones
28.28,162.61,162.25,headphones
130.97,129.6,128.65,projector
149.77,143.9,135.43,keyboard
85.19,88.36,101.94,mug
157.8,158.27,159.91,laptop
110.24,111.49,110.8,mug
143.97,144.44,141.99,projector
112.59,113.18,114.98,bike
89.98,94.35,95.24,monitor
164.89,164.24,164.66,projector
60.78,81.83,87.78,bike
105.52,107.28,112.79,backpack
70.45,68.0,62.52,bike
188.35,187.2,189.54,headphones
131.02,127.28,124.48,monitor
114.66,129.83,121.19,calculator
164.19,165.4,165.41,headphones
175.78,175.89,176.01,headphones
103.66,98.26,113.47,backpack
239.36,231.71,222.63,mug
140.27,138.17,143.2,mug
155.36,132.54,141.29,calculator
140.9,145.58,146.09,keyboard
104.88,112.9,120.61,keyboard
78.1,77.93,77.47,backpack
109.34,111.0,106.47,projector
119.03,127.23,132.9,laptop
165.32,165.09,165.04,keyboard
137.8,136.14,136.45,headphones
106.12,84.21,74.35,mouse
85.55,76.99,79.61,headphones
106.56,105.37,102.83,laptop
74.04,95.82,105.3,bike
127.82,123.08,120.39,keyboard
93.25,90.71,89.79,backpack
182.48,193.66,190.79,mug
99.18,96.34,88.19,monitor
176.95,180.6,193.8,mouse
112.54,83.33,73.71,headphones
135.6,135.91,133.97,calculator
227.06,227.32,227.51,mug
46.78,45.08,46.19,calculator
152.23,151.25,151.39,headphones
57.14,80.05,99.55,keyboard
101.31,106.57,107.4,keyboard
62.97,63.44,66.68,laptop
83.36,92.54,133.59,backpack
111.71,111.0,110.34,headphones
46.42,77.84,61.17,bike
65.82,69.24,66.55,keyboard
93.26,92.09,118.05,backpack
120.38,119.74,118.29,headphones
161.03,159.86,159.83,bike
128.67,114.23,103.19,monitor
170.96,156.16,150.14,monitor
68.51,64.08,70.39,mouse
161.97,162.82,167.43,monitor
109.41,109.5,109.69,headphones
134.14,134.65,134.96,bike
97.96,106.84,95.7,laptop
135.79,126.73,127.54,keyboard
130.28,133.68,158.23,headphones
117.72,115.41,119.65,mug
190.07,193.6,202.19,projector
94.15,84.14,79.3,laptop
149.86,154.0,152.27,mouse
186.76,185.92,185.97,headphones
35.98,45.07,50.06,keyboard
193.02,193.02,212.5,mug
145.57,150.76,169.84,backpack
113.09,117.75,120.08,headphones
227.33,226.49,226.47,projector
144.21,142.56,141.04,headphones
33.33,39.86,50.83,backpack
124.97,126.1,127.41,bike
109.17,111.67,105.7,laptop
132.1,135.39,134.83,calculator
191.68,198.29,210.86,mug
148.01,146.89,147.31,laptop
182.49,179.88,177.77,keyboard
68.31,78.53,90.37,bike
142.89,144.04,148.63,monitor
90.4,70.69,70.24,mug
210.31,192.32,176.42,laptop
199.63,200.37,202.33,backpack
52.9,57.97,57.82,mug
172.3,170.68,170.71,laptop
101.43,97.93,86.11,backpack
228.42,224.5,232.91,backpack
143.47,143.55,144.94,keyboard
105.42,113.97,114.14,monitor
97.62,118.33,133.59,headphones
168.4,156.43,159.71,headphones
112.58,109.63,110.9,projector
46.18,56.32,61.2,calculator
76.87,67.53,68.28,backpack
191.77,186.19,186.76,monitor
99.73,101.1,92.21,calculator
108.13,103.59,101.17,projector
192.3,199.13,207.0,monitor
230.65,230.91,231.3,bike
134.19,137.29,136.35,laptop
156.78,147.77,137.38,keyboard
219.37,217.68,219.37,calculator
171.07,159.4,157.37,backpack
68.18,63.0,70.21,keyboard
54.34,65.83,79.49,headphones
102.83,102.16,101.08,backpack
188.52,195.14,226.97,mouse
162.14,165.06,151.57,monitor
219.7,220.15,220.05,keyboard
128.85,128.73,128.58,headphones
210.66,203.48,191.44,monitor
89.13,88.21,91.21,backpack
169.94,170.26,174.87,backpack
174.36,163.84,153.49,monitor
171.58,163.02,154.09,monitor
151.09,152.08,155.05,calculator
171.85,172.25,184.64,backpack
