Gabor_feature_0,Gabor_feature_1,Gabor_feature_2,Gabor_feature_3,Gabor_feature_4,Gabor_feature_5,Gabor_feature_6,Gabor_feature_7,Gabor_feature_8,Gabor_feature_9,Gabor_feature_10,Gabor_feature_11,Gabor_feature_12,Gabor_feature_13,Gabor_feature_14,Gabor_feature_15,Gabor_feature_16,Gabor_feature_17,Gabor_feature_18,Gabor_feature_19,Gabor_feature_20,Gabor_feature_21,Gabor_feature_22,Gabor_feature_23,Gabor_feature_24,Gabor_feature_25,Gabor_feature_26,Gabor_feature_27,Gabor_feature_28,Gabor_feature_29,Gabor_feature_30,Gabor_feature_31,Gabor_feature_32,Gabor_feature_33,Gabor_feature_34,Gabor_feature_35,Gabor_feature_36,Gabor_feature_37,Gabor_feature_38,Gabor_feature_39,Gabor_feature_40,Gabor_feature_41,Gabor_feature_42,Gabor_feature_43,Gabor_feature_44,Gabor_feature_45,Gabor_feature_46,Gabor_feature_47,Gabor_feature_48,Gabor_feature_49,Gabor_feature_50,Gabor_feature_51,Gabor_feature_52,Gabor_feature_53,Gabor_feature_54,Gabor_feature_55,Gabor_feature_56,Gabor_feature_57,Gabor_feature_58,Gabor_feature_59,Gabor_feature_60,Gabor_feature_61,Gabor_feature_62,Gabor_feature_63,label
3.549,inf,1.0,inf,1.156,inf,0.0,inf,2.78,inf,0.0,inf,1.183,inf,0.0,inf,2.346,inf,0.0,inf,1.171,inf,0.0,inf,2.496,inf,0.0,inf,1.246,inf,0.0,inf,1.522,inf,0.0,inf,0.6826,inf,0.0,61380.0,1.853,inf,0.0,inf,0.7104,inf,0.0,63940.0,1.208,inf,1.0,inf,0.1901,0.6104,0.0,17100.0,1.191,inf,1.0,inf,0.2025,0.6475,0.0,18240.0,calculator
2.729,inf,1.0,inf,1.62,inf,0.0,inf,1.342,inf,0.0,inf,1.546,inf,0.0,inf,1.605,inf,0.0,inf,0.9917,inf,0.0,inf,0.7666,inf,0.0,inf,0.8135,inf,0.0,inf,0.893,inf,0.0,inf,0.489,inf,0.0,44000.0,0.3904,inf,0.0,35140.0,0.423,inf,0.0,38050.0,0.8335,inf,1.0,inf,0.167,0.7407,0.0,15020.0,0.632,inf,1.0,56860.0,0.144,0.652,0.0,12960.0,backpack
1.077,inf,0.0,inf,1.569,inf,0.0,inf,1.506,inf,0.0,inf,1.985,inf,0.0,inf,0.646,inf,0.0,58180.0,1.25,inf,0.0,inf,1.198,inf,0.0,inf,1.5625,inf,0.0,inf,0.523,inf,0.0,47040.0,0.9062,inf,0.0,inf,0.8213,inf,0.0,inf,1.134,inf,0.0,inf,0.9497,inf,1.0,inf,0.4304,inf,0.0,38750.0,1.061,inf,1.0,inf,0.4736,inf,0.0,42620.0,calculator
0.2937,0.783,0.0,26430.0,0.659,inf,0.0,59300.0,1.226,inf,0.0,inf,0.2856,inf,0.0,25710.0,0.3057,inf,0.0,27500.0,0.4805,inf,0.0,43200.0,0.8364,inf,0.0,inf,0.2354,inf,0.0,21180.0,0.1722,inf,0.0,15500.0,0.2642,inf,0.0,23780.0,0.4246,inf,0.0,38200.0,0.10535,0.636,0.0,9480.0,0.659,0.6606,1.0,59330.0,0.05652,0.4155,0.0,5090.0,0.7876,inf,1.0,inf,0.03815,0.259,0.0,3432.0,laptop
1.9375,inf,0.0,inf,0.5137,inf,0.0,46240.0,0.6304,inf,0.0,56700.0,0.514,inf,0.0,46300.0,1.152,inf,0.0,inf,0.3628,inf,0.0,32640.0,0.389,inf,0.0,35000.0,0.3455,inf,0.0,31100.0,0.7827,inf,0.0,inf,0.226,inf,0.0,20340.0,0.2094,inf,0.0,18830.0,0.2207,inf,0.0,19870.0,1.076,inf,1.0,inf,0.137,0.7227,0.0,12330.0,0.7686,inf,1.0,inf,0.1271,0.66,0.0,11440.0,mouse
0.749,inf,0.0,inf,0.912,inf,0.0,inf,2.18,inf,0.0,inf,1.447,inf,0.0,inf,0.5483,inf,0.0,49380.0,0.4663,inf,0.0,42000.0,1.185,inf,0.0,inf,0.6807,inf,0.0,61220.0,0.3225,inf,0.0,29020.0,0.2412,inf,0.0,21710.0,0.639,inf,0.0,57540.0,0.3547,inf,0.0,31940.0,0.6875,0.648,1.0,61900.0,0.06836,0.3723,0.0,6150.0,0.8438,inf,1.0,inf,0.0915,0.4382,0.0,8240.0,mouse
0.979,inf,0.0,inf,0.622,inf,0.0,56000.0,2.719,inf,0.0,inf,0.7246,inf,0.0,65200.0,1.277,inf,0.0,inf,0.8047,inf,0.0,inf,2.508,inf,0.0,inf,0.777,inf,0.0,inf,0.8325,inf,0.0,inf,0.4062,inf,0.0,36540.0,1.625,inf,0.0,inf,0.408,inf,0.0,36700.0,0.908,inf,1.0,inf,0.081,0.3906,0.0,7290.0,1.156,inf,1.0,inf,0.0792,0.4006,0.0,7132.0,keyboard
1.412,inf,0.0,inf,1.291,inf,0.0,inf,3.723,inf,1.0,inf,1.335,inf,0.0,inf,1.308,inf,0.0,inf,1.045,inf,0.0,inf,2.895,inf,0.0,inf,0.9404,inf,0.0,inf,0.8247,inf,0.0,inf,0.571,inf,0.0,51360.0,1.707,inf,0.0,inf,0.5103,inf,0.0,45920.0,1.022,inf,1.0,inf,0.1614,0.6772,0.0,14520.0,1.283,inf,1.0,inf,0.1566,0.643,0.0,14100.0,keyboard
2.184,inf,0.0,inf,2.592,inf,0.0,inf,2.617,inf,0.0,inf,2.578,inf,0.0,inf,1.435,inf,0.0,inf,1.662,inf,0.0,inf,1.512,inf,0.0,inf,1.506,inf,0.0,inf,0.973,inf,0.0,inf,1.084,inf,0.0,inf,1.055,inf,0.0,inf,0.917,inf,0.0,inf,1.253,inf,1.0,inf,0.4956,inf,0.0,44600.0,1.279,inf,1.0,inf,0.4612,inf,0.0,41500.0,bike
0.915,inf,0.0,inf,0.6978,inf,0.0,62800.0,3.287,inf,0.0,inf,0.685,inf,0.0,61660.0,0.584,inf,0.0,52500.0,0.2874,inf,0.0,25870.0,1.599,inf,0.0,inf,0.308,inf,0.0,27740.0,0.372,inf,0.0,33500.0,0.1799,inf,0.0,16190.0,0.7534,inf,0.0,inf,0.1703,inf,0.0,15330.0,0.823,inf,1.0,inf,0.0699,0.4568,0.0,6292.0,0.945,inf,1.0,inf,0.0704,0.4932,0.0,6332.0,projector
3.541,inf,1.0,inf,1.288,inf,0.0,inf,3.02,inf,1.0,inf,1.445,inf,0.0,inf,2.475,inf,0.0,inf,0.867,inf,0.0,inf,2.047,inf,0.0,inf,0.8496,inf,0.0,inf,1.456,inf,0.0,inf,0.509,inf,0.0,45820.0,1.047,inf,0.0,inf,0.435,inf,0.0,39200.0,0.824,inf,1.0,inf,0.1418,0.5005,0.0,12760.0,0.705,inf,1.0,63400.0,0.10724,0.3845,0.0,9656.0,mug
2.756,inf,0.0,inf,3.305,inf,1.0,inf,3.107,inf,1.0,inf,2.941,inf,0.0,inf,1.708,inf,0.0,inf,1.97,inf,0.0,inf,1.902,inf,0.0,inf,1.648,inf,0.0,inf,1.032,inf,0.0,inf,1.194,inf,0.0,inf,1.183,inf,0.0,inf,0.949,inf,0.0,inf,1.238,inf,1.0,inf,0.5117,inf,0.0,46050.0,1.247,inf,1.0,inf,0.4338,inf,0.0,39040.0,bike
1.634,inf,0.0,inf,0.7305,inf,0.0,inf,1.508,inf,0.0,inf,0.656,inf,0.0,59040.0,0.8657,inf,0.0,inf,0.4275,inf,0.0,38460.0,1.019,inf,0.0,inf,0.4482,inf,0.0,40320.0,0.539,inf,0.0,48500.0,0.326,inf,0.0,29310.0,0.6826,inf,0.0,61400.0,0.3308,inf,0.0,29760.0,0.463,0.824,0.0,41660.0,0.0922,0.4512,0.0,8300.0,0.561,inf,0.0,50500.0,0.0912,0.4473,0.0,8200.0,mug
0.8438,inf,0.0,inf,0.3262,inf,0.0,29340.0,0.538,inf,0.0,48400.0,0.4707,inf,0.0,42370.0,0.5854,inf,0.0,52700.0,0.1473,0.656,0.0,13270.0,0.2693,inf,0.0,24220.0,0.2208,0.731,0.0,19870.0,0.2588,inf,0.0,23300.0,0.0759,0.5317,0.0,6836.0,0.1215,0.5776,0.0,10930.0,0.1002,0.506,0.0,9016.0,0.639,0.7715,1.0,57540.0,0.0283,0.268,0.0,2550.0,0.573,0.5947,1.0,51650.0,0.02809,0.2162,0.0,2528.0,mug
3.12,inf,2.0,inf,2.012,inf,1.0,inf,1.746,inf,0.0,inf,1.717,inf,0.0,inf,2.072,inf,0.0,inf,1.051,inf,0.0,inf,0.854,inf,0.0,inf,0.9546,inf,0.0,inf,1.213,inf,0.0,inf,0.5547,inf,0.0,49900.0,0.4521,inf,0.0,40670.0,0.4773,inf,0.0,42940.0,0.9487,inf,1.0,inf,0.2075,0.7656,0.0,18670.0,0.5835,inf,0.0,52540.0,0.2023,0.7554,0.0,18200.0,backpack
1.667,inf,0.0,inf,0.9976,inf,0.0,inf,2.154,inf,0.0,inf,0.893,inf,0.0,inf,0.837,inf,0.0,inf,0.516,inf,0.0,46460.0,1.013,inf,0.0,inf,0.4163,inf,0.0,37470.0,0.4458,inf,0.0,40130.0,0.2922,inf,0.0,26300.0,0.6484,inf,0.0,58340.0,0.2537,inf,0.0,22830.0,1.004,inf,1.0,inf,0.1266,0.549,0.0,11390.0,1.061,inf,1.0,inf,0.1193,0.5244,0.0,10744.0,mug
1.005,inf,0.0,inf,0.8184,inf,0.0,inf,3.055,inf,0.0,inf,0.875,inf,0.0,inf,0.661,inf,0.0,59500.0,0.4612,inf,0.0,41500.0,1.477,inf,0.0,inf,0.5366,inf,0.0,48320.0,0.3262,inf,0.0,29360.0,0.226,inf,0.0,20340.0,0.7954,inf,0.0,inf,0.2644,inf,0.0,23780.0,0.8486,inf,1.0,inf,0.0724,0.4692,0.0,6516.0,1.023,inf,1.0,inf,0.07764,0.501,0.0,6984.0,projector
2.707,inf,1.0,inf,1.616,inf,1.0,inf,4.816,inf,3.605,inf,1.883,inf,1.0,inf,1.647,inf,0.0,inf,0.8643,inf,0.0,inf,3.344,inf,1.0,inf,0.9014,inf,0.0,inf,0.8516,inf,0.0,inf,0.3545,inf,0.0,31890.0,1.713,inf,0.0,inf,0.3584,inf,0.0,32270.0,0.6143,inf,0.0,55300.0,0.04727,0.2717,0.0,4252.0,0.892,inf,1.0,inf,0.0466,0.269,0.0,4190.0,monitor
1.029,inf,0.0,inf,0.8403,inf,0.0,inf,2.338,inf,0.0,inf,0.711,inf,0.0,64000.0,0.5317,inf,0.0,47870.0,0.5107,inf,0.0,45950.0,1.38,inf,0.0,inf,0.43,inf,0.0,38700.0,0.3774,inf,0.0,34000.0,0.398,inf,0.0,35840.0,1.098,inf,0.0,inf,0.2444,inf,0.0,21980.0,0.8096,inf,1.0,inf,0.10175,0.5156,0.0,9170.0,1.005,inf,1.0,inf,0.07416,0.3723,0.0,6670.0,projector
1.043,inf,0.0,inf,1.342,inf,0.0,inf,2.426,inf,0.0,inf,0.8525,inf,0.0,inf,0.7095,inf,0.0,63870.0,0.8936,inf,0.0,inf,1.602,inf,0.0,inf,0.6616,inf,0.0,59550.0,0.5454,inf,0.0,49060.0,0.6562,inf,0.0,59070.0,1.02,inf,0.0,inf,0.5083,inf,0.0,45760.0,0.833,inf,1.0,inf,0.2456,0.79,0.0,22140.0,1.054,inf,1.0,inf,0.2249,0.743,0.0,20220.0,mug
0.839,inf,0.0,inf,0.646,inf,0.0,58100.0,1.069,inf,0.0,inf,2.094,inf,0.0,inf,0.3054,inf,0.0,27490.0,0.3096,inf,0.0,27870.0,0.4746,inf,0.0,42720.0,0.9272,inf,0.0,inf,0.1299,0.7656,0.0,11690.0,0.1547,inf,0.0,13910.0,0.2747,inf,0.0,24700.0,0.4868,inf,0.0,43780.0,0.7666,inf,1.0,inf,0.0968,0.561,0.0,8710.0,0.807,inf,1.0,inf,0.1621,inf,0.0,14584.0,mouse
0.647,inf,0.0,58240.0,0.997,inf,0.0,inf,2.664,inf,0.0,inf,1.269,inf,0.0,inf,0.4543,inf,0.0,40900.0,0.5923,inf,0.0,53280.0,1.517,inf,0.0,inf,0.7188,inf,0.0,64700.0,0.23,inf,0.0,20700.0,0.3875,inf,0.0,34850.0,0.8867,inf,0.0,inf,0.395,inf,0.0,35550.0,0.838,inf,1.0,inf,0.1481,0.7334,0.0,13330.0,1.015,inf,1.0,inf,0.1318,0.572,0.0,11864.0,projector
0.8906,inf,0.0,inf,0.4512,inf,0.0,40600.0,0.858,inf,0.0,inf,2.328,inf,0.0,inf,0.4734,inf,0.0,42620.0,0.313,inf,0.0,28180.0,0.4473,inf,0.0,40300.0,1.194,inf,0.0,inf,0.244,inf,0.0,21950.0,0.1646,inf,0.0,14800.0,0.2542,inf,0.0,22900.0,0.67,inf,0.0,60300.0,0.5137,0.847,0.0,46200.0,0.1338,0.594,0.0,12050.0,0.5205,inf,0.0,46850.0,0.2537,inf,0.0,22830.0,mouse
1.422,inf,0.0,inf,0.3523,inf,0.0,31730.0,1.1455,inf,0.0,inf,0.3552,inf,0.0,31950.0,1.109,inf,0.0,inf,0.2437,inf,0.0,21940.0,0.7476,inf,0.0,inf,0.2375,inf,0.0,21390.0,0.672,inf,0.0,60480.0,0.1829,inf,0.0,16460.0,0.4316,inf,0.0,38880.0,0.1752,0.852,0.0,15750.0,0.7075,inf,1.0,63680.0,0.04153,0.281,0.0,3736.0,0.602,0.851,1.0,54180.0,0.03925,0.263,0.0,3536.0,projector
5.49,inf,4.125,inf,1.995,inf,1.0,inf,5.168,inf,3.0,inf,1.856,inf,1.0,inf,3.26,inf,1.0,inf,1.454,inf,0.0,inf,3.518,inf,1.0,inf,1.319,inf,0.0,inf,1.632,inf,0.0,inf,0.538,inf,0.0,48420.0,1.221,inf,0.0,inf,0.452,inf,0.0,40670.0,0.748,inf,1.0,inf,0.02893,0.1757,0.0,2606.0,0.6875,0.7173,1.0,61920.0,0.02432,0.1597,0.0,2190.0,calculator
2.182,inf,0.0,inf,2.807,inf,0.0,inf,3.115,inf,1.0,inf,2.623,inf,0.0,inf,1.423,inf,0.0,inf,1.761,inf,0.0,inf,1.989,inf,0.0,inf,1.621,inf,0.0,inf,0.773,inf,0.0,inf,0.9634,inf,0.0,inf,1.173,inf,0.0,inf,0.882,inf,0.0,inf,0.938,inf,1.0,inf,0.4624,inf,0.0,41630.0,1.108,inf,1.0,inf,0.4353,inf,0.0,39200.0,bike
2.99,inf,1.0,inf,1.256,inf,0.0,inf,1.63,inf,0.0,inf,1.498,inf,0.0,inf,1.777,inf,0.0,inf,0.6626,inf,0.0,59650.0,0.88,inf,0.0,inf,0.774,inf,0.0,inf,0.919,inf,0.0,inf,0.3342,inf,0.0,30100.0,0.4492,inf,0.0,40450.0,0.35,inf,0.0,31500.0,0.6636,inf,0.0,59680.0,0.0755,0.379,0.0,6790.0,0.509,inf,0.0,45760.0,0.0784,0.403,0.0,7064.0,backpack
2.346,inf,0.0,inf,2.92,inf,0.0,inf,3.379,inf,1.0,inf,2.629,inf,0.0,inf,1.909,inf,0.0,inf,2.033,inf,0.0,inf,2.314,inf,0.0,inf,1.812,inf,0.0,inf,1.251,inf,0.0,inf,1.265,inf,0.0,inf,1.572,inf,0.0,inf,1.143,inf,0.0,inf,1.318,inf,1.0,inf,0.566,inf,0.0,50940.0,1.447,inf,1.0,inf,0.5234,inf,0.0,47100.0,bike
0.4736,inf,0.0,42620.0,0.964,inf,0.0,inf,0.981,inf,0.0,inf,0.9473,inf,0.0,inf,0.2136,inf,0.0,19220.0,0.4644,inf,0.0,41800.0,0.4817,inf,0.0,43360.0,0.4893,inf,0.0,44000.0,0.1054,0.7437,0.0,9480.0,0.1776,inf,0.0,16000.0,0.1882,inf,0.0,16960.0,0.2354,inf,0.0,21180.0,0.862,inf,1.0,inf,0.04956,0.345,0.0,4460.0,0.891,inf,1.0,inf,0.05017,0.3738,0.0,4516.0,projector
2.686,inf,0.0,inf,2.158,inf,0.0,inf,1.67,inf,0.0,inf,2.326,inf,0.0,inf,1.797,inf,0.0,inf,1.333,inf,0.0,inf,0.99,inf,0.0,inf,1.402,inf,0.0,inf,1.069,inf,0.0,inf,0.7925,inf,0.0,inf,0.704,inf,0.0,63360.0,0.867,inf,0.0,inf,1.159,inf,1.0,inf,0.2783,inf,0.0,25060.0,1.002,inf,1.0,inf,0.3284,inf,0.0,29550.0,headphones
2.53,inf,0.0,inf,0.7676,inf,0.0,inf,0.9287,inf,0.0,inf,0.921,inf,0.0,inf,1.385,inf,0.0,inf,0.4407,inf,0.0,39650.0,0.4683,inf,0.0,42180.0,0.4766,inf,0.0,42900.0,0.71,inf,0.0,63900.0,0.2184,inf,0.0,19630.0,0.2498,inf,0.0,22460.0,0.2347,inf,0.0,21120.0,0.8784,inf,1.0,inf,0.07416,0.5054,0.0,6670.0,0.725,0.8047,1.0,65280.0,0.0825,0.5737,0.0,7428.0,backpack
2.195,inf,0.0,inf,2.137,inf,0.0,inf,2.855,inf,0.0,inf,2.41,inf,0.0,inf,1.583,inf,0.0,inf,1.64,inf,0.0,inf,1.946,inf,0.0,inf,1.747,inf,0.0,inf,1.043,inf,0.0,inf,1.155,inf,0.0,inf,1.27,inf,0.0,inf,1.088,inf,0.0,inf,1.157,inf,1.0,inf,0.4421,inf,0.0,39780.0,1.252,inf,1.0,inf,0.3918,inf,0.0,35260.0,bike
0.807,inf,0.0,inf,1.072,inf,0.0,inf,0.825,inf,0.0,inf,0.4631,inf,0.0,41660.0,0.4104,inf,0.0,36960.0,0.665,inf,0.0,59870.0,0.426,inf,0.0,38340.0,0.2715,inf,0.0,24430.0,0.2139,inf,0.0,19250.0,0.3418,inf,0.0,30750.0,0.2041,inf,0.0,18370.0,0.1322,inf,0.0,11900.0,1.001,inf,1.0,inf,0.09686,0.6553,0.0,8720.0,0.9966,inf,1.0,inf,0.05902,0.3953,0.0,5310.0,mouse
1.082,inf,0.0,inf,1.226,inf,0.0,inf,1.32,inf,0.0,inf,2.334,inf,0.0,inf,0.5073,inf,0.0,45700.0,0.6353,inf,0.0,57180.0,0.687,inf,0.0,61820.0,1.199,inf,0.0,inf,0.2437,inf,0.0,21920.0,0.319,inf,0.0,28690.0,0.358,inf,0.0,32220.0,0.623,inf,0.0,56100.0,0.74,inf,1.0,inf,0.11945,0.5864,0.0,10750.0,0.7725,inf,1.0,inf,0.1807,0.8403,0.0,16260.0,mouse
0.74,inf,0.0,inf,2.195,inf,0.0,inf,1.323,inf,0.0,inf,0.747,inf,0.0,inf,0.4858,inf,0.0,43740.0,1.722,inf,0.0,inf,1.051,inf,0.0,inf,0.6157,inf,0.0,55420.0,0.3193,inf,0.0,28750.0,1.258,inf,0.0,inf,0.8813,inf,0.0,inf,0.492,inf,0.0,44260.0,0.72,0.741,1.0,64830.0,0.3865,inf,0.0,34780.0,0.88,inf,1.0,inf,0.2146,0.672,0.0,19310.0,calculator
1.073,inf,0.0,inf,0.5337,inf,0.0,48030.0,2.553,inf,0.0,inf,0.5234,inf,0.0,47100.0,1.508,inf,0.0,inf,0.705,inf,0.0,63460.0,2.396,inf,0.0,inf,0.739,inf,0.0,inf,0.9766,inf,0.0,inf,0.4211,inf,0.0,37900.0,1.82,inf,0.0,inf,0.44,inf,0.0,39600.0,0.978,inf,1.0,inf,0.08777,0.3887,0.0,7900.0,1.29,inf,1.0,inf,0.09204,0.403,0.0,8280.0,keyboard
0.7817,inf,0.0,inf,1.734,inf,0.0,inf,2.395,inf,0.0,inf,1.395,inf,0.0,inf,0.4175,inf,0.0,37540.0,0.8374,inf,0.0,inf,1.259,inf,0.0,inf,0.7153,inf,0.0,64420.0,0.1975,0.77,0.0,17760.0,0.384,inf,0.0,34600.0,0.5938,inf,0.0,53440.0,0.3596,inf,0.0,32380.0,0.605,0.832,1.0,54430.0,0.2264,inf,0.0,20380.0,0.739,inf,1.0,inf,0.1625,0.6343,0.0,14620.0,projector
0.3281,inf,0.0,29520.0,0.669,inf,0.0,60200.0,1.219,inf,0.0,inf,0.325,inf,0.0,29250.0,0.3362,inf,0.0,30260.0,0.4954,inf,0.0,44600.0,0.865,inf,0.0,inf,0.2712,inf,0.0,24420.0,0.182,inf,0.0,16376.0,0.2778,inf,0.0,25010.0,0.4446,inf,0.0,40030.0,0.11505,0.68,0.0,10350.0,0.673,0.6953,1.0,60540.0,0.06445,0.428,0.0,5804.0,0.787,inf,1.0,inf,0.0428,0.2764,0.0,3850.0,laptop
3.41,inf,2.0,inf,1.824,inf,1.0,inf,1.823,inf,0.0,inf,1.645,inf,1.0,inf,2.158,inf,0.0,inf,1.095,inf,0.0,inf,1.016,inf,0.0,inf,0.889,inf,0.0,inf,1.316,inf,0.0,inf,0.5713,inf,0.0,51460.0,0.6616,inf,0.0,59620.0,0.516,inf,0.0,46500.0,1.035,inf,1.0,inf,0.2322,0.8486,0.0,20900.0,0.713,inf,1.0,64160.0,0.2263,0.846,0.0,20370.0,backpack
0.898,inf,0.0,inf,0.1497,0.683,0.0,13460.0,1.936,inf,0.0,inf,0.1115,0.535,0.0,10030.0,0.591,inf,0.0,53200.0,0.09546,0.6504,0.0,8600.0,0.8965,inf,0.0,inf,0.06494,0.464,0.0,5844.0,0.3562,inf,0.0,32080.0,0.04984,0.4573,0.0,4484.0,0.501,inf,0.0,45100.0,0.03674,0.352,0.0,3306.0,0.678,0.8247,1.0,61000.0,0.01297,0.177,0.0,1167.0,0.7256,inf,1.0,65340.0,0.00992,0.1315,0.0,892.5,laptop
